type,name,calendar,category,sbj_list,cnbr_name
plan,MECTROPT,2022,Required,list,mectropt_A_electr
,,,,list,mectropt_B_embedded
,,,,list,mectropt_C_elctrmech
,,,,list,mectropt_D_machine
,,,,list,mectropt_E_control
,,,,list,mectropt_F_roboauto
,,,,list,mectropt_G_mechsys
,,,Elective,list,mectropt_H_elec
,,,Project,list,mectropt_proj
list,mectropt_A_electr,2022,,BME,294
,,,,ECE,240
,,,,MTE,220
,,,,SYDE,292
list,mectropt_B_embedded,2022,,ECE,224
,,,,MTE,325
list,mectropt_C_elctrmech,2022,,ECE,260
,,,,ME,269
,,,,MTE,320
list,mectropt_D_machine,2022,,ME,321
,,,,MTE,321
list,mectropt_E_control,2022,,ECE,481
,,,,ECE,484
,,,,ECE,488
,,,,MTE,460
list,mectropt_F_roboauto,2022,,ECE,486
,,,,ME,547
,,,,MTE,544
list,mectropt_G_mechsys,2022,,ME,322
,,,,ME,524
,,,,SYDE,553
list,mectropt_H_elec,2022,,ECE,356
,,,,ECE,454
,,,,ECE,455
,,,,ECE,457A
,,,,ECE,457B
,,,,ECE,459
,,,,ECE,463
,,,,ME,561
,,,,SYDE,522
,,,,SYDE,572
,,,,SYDE,575
list,mectropt_proj,2022,,list,eng_bmeProj:
,,,,list,eng_eceProj:
,,,,list,eng_meProj:
,,,,list,eng_sydeProj:
