type,name,calendar,category,sbj_list,cnbr_name
plan,BIOMECHOPT,2023,Reqd,list,biomech_theory
,,,,list,biomech_anat
,,,,list,biomech_erg
,,,,list,biomech_method
,,,,list,biomech_kin
,,,,list,biomech_proj
list,biomech_anat,2023,,BIOL,201
,,,,BIOL,273
,,,,BME,284
,,,,SYDE,584
,,,,list,kin100:
list,biomech_erg,2023,,KIN,320
,,,,KIN,420
,,,,SYDE,162
,,,,SYDE,543
,,,,SYDE,548
,,,,list,kin121:
list,biomech_kin,2023,,BME,551
,,,,KIN,312
,,,,KIN,340
,,,,KIN,356
,,,,KIN,416
,,,,KIN,420
,,,,KIN,422
,,,,KIN,425
,,,,KIN,472
,,,,list,kin221:
,,,,list,kin255:
list,biomech_method,2023,,CHE,341
,,,,CIVE,306
,,,,CIVE,422
,,,,ECE,380
,,,,ECE,486
,,,,ME,322
,,,,ME,360
,,,,ME,423
,,,,ME,547
,,,,ME,555
,,,,ME,559
,,,,ME,566
,,,,MTE,360
,,,,NE,336
,,,,PHYS,395
,,,,SYDE,352
,,,,SYDE,543
,,,,SYDE,544
,,,,SYDE,553
,,,,SYDE,572
,,,,SYDE,575
list,biomech_proj,2023,,list,eng_capstone
,,,,list,gene40x:
list,biomech_theory,2023,,BME,588
,,,,CIVE,460
,,,,ME,574
list,gene40x:,2023,,GENE,401
,,,,GENE,402
list,kin100:,2023,,KIN,100
,,,,KIN,100L
list,kin121:,2023,,KIN,121
,,,,KIN,121L
list,kin221:,2023,,KIN,221
,,,,KIN,221L
list,kin255:,2023,,KIN,255
,,,,KIN,255L
