type,name,calendar,category,sbj_list,cnbr_name
plan,MECTROPT,2023,Core,list,mectropt_1_electr
,,,,list,mectropt_2_embedded
,,,,list,mectropt_3_elctrmech
,,,,list,mectropt_4_machine
,,,,list,mectropt_5_control
,,,,list,mectropt_6_roboauto
,,,,list,mectropt_7_mechsys
,,,Elective,list,mectropt_8_elec
,,,Project,list,mectropt_proj
list,mectropt_1_electr,2023,,BME,294
,,,,ECE,240
,,,,MTE,220
,,,,SYDE,292
list,mectropt_2_embedded,2023,,ECE,224
,,,,MTE,325
list,mectropt_3_elctrmech,2023,,ECE,260
,,,,ME,269
,,,,MTE,320
list,mectropt_4_machine,2023,,ME,321
,,,,MTE,321
list,mectropt_5_control,2023,,ECE,481
,,,,ECE,484
,,,,ECE,488
,,,,MTE,460
list,mectropt_6_roboauto,2023,,ECE,486
,,,,ME,547
,,,,MTE,544
list,mectropt_7_mechsys,2023,,ME,322
,,,,ME,524
,,,,SYDE,553
list,mectropt_8_elec,2023,,ECE,356
,,,,ECE,454
,,,,ECE,455
,,,,ECE,457A
,,,,ECE,457B
,,,,ECE,459
,,,,ECE,463
,,,,ME,561
,,,,SYDE,522
,,,,SYDE,572
,,,,SYDE,575
list,mectropt_proj,2023,,list,eng_bmeProj:
,,,,list,eng_eceProj:
,,,,list,eng_meProj:
,,,,list,eng_sydeProj:
